interaction_id,question_type,n_words,t_star,measured_saved_ms,H_predicted_ms
55b219e5-ba31-4318-a73d-551f0fb9c546,multi-hop,11,1,1583.14,1000.0
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,14,2,1571.84,1000.0
7752219e-72eb-44c7-bf83-a52a00c7b5da,simple_w_condition,10,8,317.75,666.67
37d00a45-b707-4f82-8ad5-faaab9f7f24a,comparison,19,1,1563.79,1000.0
41354a30-fd4f-4ae7-b234-566136410e16,simple_w_condition,9,2,1590.32,1000.0
1015c11e-ebfb-44aa-8dc1-7d8742b2feca,simple_w_condition,10,1,1592.92,1000.0
4afd82c6-af57-41b2-9848-f0ec9479efd5,simple,10,1,1582.29,1000.0
2e03317d-d5d0-4814-8bb9-72dee71f5c52,comparison,17,13,-939.91,1000.0
4ef3290a-1d97-4c93-a1d2-e57a5822e114,simple,9,2,1571.33,1000.0
9be1e42c-e119-4379-a0b2-aaddc34eb429,aggregation,16,9,1580.19,1000.0
17f084f8-5db0-41bf-b9b5-ec81b95e2191,simple,5,2,666.39,1000.0
508a207a-f44d-4d4d-b875-4615878d250d,aggregation,15,1,1581.56,1000.0
639d2cc0-99d6-4346-ac63-e963568d80f4,aggregation,7,5,1312.79,666.67
7a77679e-d88b-4acf-9532-94e32233950b,comparison,10,8,1583.02,666.67
40da23a9-d45d-4afa-b5d3-8da790da9d40,simple_w_condition,7,2,1335.71,1000.0
81148a6f-de74-4624-a2b3-794e9ed5ab76,multi-hop,11,5,1577.53,1000.0
2a56eddc-9aa9-4377-86b3-f1e4283fa677,aggregation,14,2,1584.03,1000.0
cb7b187b-93c0-40ea-b8f7-c7ae7f0ed29e,comparison,14,11,1588.11,1000.0
2d866dcc-5a48-429d-8fc5-9117dfd4395f,post-processing,12,8,986.76,1000.0
1443794f-87da-4e41-a425-ff08ab1b4640,simple_w_condition,6,1,998.69,1000.0
129da772-7047-418c-9871-98801c6dbee8,simple,13,2,1585.01,1000.0
aa29b165-d6ac-423b-88a2-7a6ec06e0273,simple_w_condition,15,1,1563.9,1000.0
688ce190-86a9-4e4f-9028-e1f1b268d6c9,simple,13,1,1568.87,1000.0
9b770c69-f54f-46d8-bbb4-d89e098d82fb,simple,12,6,1587.12,1000.0
251c298e-e240-444d-ade3-426b99cd03b1,simple,9,1,1592.54,1000.0
2d8bdc48-5286-4e13-aac5-2aeb0f089d12,simple,11,4,1586.97,1000.0
fab53292-d446-4ea1-aeb3-bd24c03cc264,aggregation,17,1,1587.78,1000.0
b8e81474-d076-45c2-86da-87cf81fd5326,simple,9,1,1592.32,1000.0
6f6452ef-7e3d-4e3b-b789-d8800b980687,comparison,11,1,1588.13,1000.0
ce18f7dd-f5fb-4e36-91c4-442cb0afe7e4,simple,11,1,1573.8,1000.0
959e4644-d7e9-4063-a916-73107ca91015,comparison,17,3,1583.91,1000.0
7ce64475-a26d-4991-b716-e0c6a00c5fe7,comparison,11,1,1590.46,1000.0
e35f001a-b9f5-465e-b311-34789352d9fd,aggregation,13,1,1579.81,1000.0
ed8aa3dc-3d28-4633-99f4-c01e19ea1f49,simple,8,4,1588.57,1000.0
f9df617d-0815-4116-b345-f90e24b6bceb,simple,9,3,1584.29,1000.0
89e63c8a-1be3-4790-a381-d56b0b022231,comparison,13,1,1580.46,1000.0
36a8f12f-43ec-4558-8ffa-ca882993569c,simple,11,2,1577.35,1000.0
8057669d-3e4a-4d11-a9e0-20982e83cdae,comparison,17,3,1580.29,1000.0
c491de27-e364-495a-8042-380e76863962,comparison,15,1,1554.54,1000.0
d9223437-5337-4dd9-a8b9-708d62ab8172,simple,8,3,1587.35,1000.0
bcc88678-d327-4792-b6f5-bb7efc33e2c6,multi-hop,15,2,1548.97,1000.0
8ac3b4fd-ef94-46fb-bd7b-e7716e9b2c9e,comparison,12,1,1577.14,1000.0
12ecfd39-1425-4957-9c86-321581048ef2,simple,6,4,998.51,666.67
c6bb3372-bf98-4ace-abb8-c1e4de37234a,simple_w_condition,9,1,1590.5,1000.0
95395d91-4c20-42d2-a83a-63cd7ceb9de0,comparison,10,2,1587.43,1000.0
26c71ab4-7e91-4fca-9ee0-bf37112a60e0,comparison,15,3,1586.9,1000.0
8c17fc19-f436-45ab-bb67-b5a73c39cd41,simple,7,2,1327.81,1000.0
15d28e34-405b-42a8-8a73-41fcb9584845,simple,11,1,1584.35,1000.0
a0dd8a0d-e8a9-46d7-b930-e30af0cb3671,simple,8,1,1569.11,1000.0
8afb7c54-21de-4dae-9afd-71b317dae885,simple,8,1,1589.08,1000.0
6a0ab652-c65e-4857-b209-16fafd25ee9e,aggregation,14,1,1577.73,1000.0
ff20865f-b6d3-4348-88a8-e46d865191ca,simple_w_condition,14,9,1583.14,1000.0
5268e83b-ba85-44a3-b8eb-f3a494ed053f,simple,8,1,1588.13,1000.0
470277f4-2101-4aaa-a35e-c44b4a7bf758,simple,9,1,1581.95,1000.0
a3d5797d-8a38-483b-b42f-168f38fcceab,simple,8,6,1591.16,666.67
0046851e-506f-4925-b769-bda66af48f9e,simple,8,1,1589.23,1000.0
6368de43-1ee8-437e-8f6f-b23a9fdb48ad,simple,16,16,1573.42,0.0
f068a33c-2458-4d27-8448-02906e6b5fa5,aggregation,10,8,1589.91,666.67
909fb375-e924-4f8b-8c9d-b39d2402550b,multi-hop,19,1,1587.01,1000.0
ba4433de-8237-4207-a110-566219bb36dd,aggregation,10,3,1338.92,1000.0
